year,burough,cases
2012,Bronx,81
2013,Bronx,73
2014,Bronx,86
2015,Bronx,87
2016,Bronx,104
2017,Bronx,76
2018,Bronx,158
2012,Brooklyn,106
2013,Brooklyn,107
2014,Brooklyn,111
2015,Brooklyn,98
2016,Brooklyn,113
2017,Brooklyn,105
2018,Brooklyn,193
2012,Manhattan,69
2013,Manhattan,67
2014,Manhattan,58
2015,Manhattan,59
2016,Manhattan,62
2017,Manhattan,82
2018,Manhattan,133
2012,Queens,115
2013,Queens,92
2014,Queens,115
2015,Queens,97
2016,Queens,93
2017,Queens,119
2018,Queens,161
2012,Staten Island,23
2013,Staten Island,23
2014,Staten Island,20
2015,Staten Island,15
2016,Staten Island,23
2017,Staten Island,8
2018,Staten Island,43
