year,burough,cases
2012,Violation of Protective Order,8142
2013,Violation of Protective Order,8870
2014,Violation of Protective Order,9892
2015,Violation of Protective Order,11060
2016,Violation of Protective Order,11557
2017,Violation of Protective Order,11194
2018,Violation of Protective Order,13308
2012,Sex Offense,788
2013,Sex Offense,724
2014,Sex Offense,780
2015,Sex Offense,712
2016,Sex Offense,854
2017,Sex Offense,780
2018,Sex Offense,1376
2012,Felony Assault,6613
2013,Felony Assault,7529
2014,Felony Assault,6800
2015,Felony Assault,6612
2016,Felony Assault,7383
2017,Felony Assault,6810
2018,Felony Assault,7656
2012,Assault 3 & Related Offenses,18451
2013,Assault 3 & Related Offenses,18119
2014,Assault 3 & Related Offenses,19528
2015,Assault 3 & Related Offenses,18482
2016,Assault 3 & Related Offenses,18528
2017,Assault 3 & Related Offenses,16706
2018,Assault 3 & Related Offenses,18090
